Имя [Ru],Краткое описание [Ru],Категория [Ru]
Бонг Amsterdam | Limited Edition Special Shape Series,Эксклюзивный бонг Amsterdam из лимитированной серии Special Shape Series с уникальным дизайном корпуса.,Бонги
Banksy’s ‘Bulletproof Dove’-Spiral Percolator,Стеклянный бонг Banksy’s ‘Bulletproof Dove’ с эффективным спиральным перколятором для мягкого охлаждения и устойчивой формой колбы.,Бонги
Flonq MAX e Pinapple Apple Pear,Flonq MAX e Pinapple Apple Pear предлагает уникальное фруктовое сочетание в стильном и удобном корпусе.,Flonq MAX e
Finecut classic choice,Табак для самокруток Finecut classic choice (MB014) по цене 200 MDL. Классический выбор для ценителей.,Табак для самокруток
Finecut amsterdamer original,Классический табак для самокруток Finecut amsterdamer original по цене 200.00 MDL.,Табак для самокруток
Portsigar Stoll 902N1,Портсигар Stoll 902N1 — это стильный аксессуар для надежного хранения сигарет. Компактный дизайн и прочная конструкция обеспечивают защиту содержимого в любых ситуациях.,Тех которых нет
Elf Bar Lux 1500 Strawberry Energy (Stra Enrg),Elf Bar Lux 1500 Strawberry Energy (Stra Enrg) со вкусом клубничного энергетика на 1500 затяжек в стильном дизайне Lux.,
Мундштук Denicotea Automatic,Элегантный мундштук Denicotea Automatic с системой автоматического извлечения сигареты.,Фильтры
E-Lichid CLAUD 10 ml. MNG PINAPL PPAIA #4,"Качественная жидкость CLAUD 10 мл со вкусом манго, ананаса и папайи. Идеальный выбор для ежедневного использования в удобном формате.",Жидкость ХЗ
Bong Glass Amsterdam,"Bong Glass Amsterdam — это стильный стеклянный бонг, сочетающий в себе надежность и классический дизайн.",Бонги
HQD EOS 600 Strawberry Watermelon,HQD EOS 600 Strawberry Watermelon — это компактное устройство со вкусом клубники и арбуза. Модель серии Hqd eos 600 по выгодной цене.,Hqd eos 600
Cola Ice,Освежающая жидкость Claud со вкусом колы и льда для ежедневного использования.,Жидкость Claud
Мундштук Denicotea Flair 100 mm,Элегантный мундштук Denicotea Flair длиной 100 мм для комфортного и эстетичного курения сигарет.,Фильтры
Набор LUXE X 0.6Ω MESH POD (5ml) — 2 шт,Набор из двух сменных картриджей объемом 5 мл с сопротивлением 0.6 Ом для систем LUXE X.,Картриджи Vaporesso
Vaporesso ZERO S Silver,"Vaporesso ZERO S Silver — компактная под-система в элегантном серебристом корпусе, созданная для максимального удобства и простоты использования.",Vaporesso
Зажигалка Clipper | Reggae Life,Оригинальная многоразовая зажигалка Clipper Reggae Life со съемным кремниевым элементом и ярким дизайном.,Зажигалки Clipper
Pod VOOPOO VMATE E (Mint Blue),Стильный и компактный Pod VOOPOO VMATE E в цвете Mint Blue. Оригинальное устройство VOOPOO по выгодной цене.,VOOPOO
Бумажные фильтры OCB Filter Tips,Качественные бумажные фильтры OCB Filter Tips для удобного скручивания и формирования идеальной формы наконечника.,Фильтры
Киссет для табака ZIPPO Tobacco pouch leather mocca,Элегантный киссет из натуральной кожи ZIPPO для удобного и надежного хранения табака.,Тех которых нет
2x Lemon Haze Pre-Rolled,Набор из двух готовых джоинтов Lemon Haze на основе натуральных конопляных оберток.,Джоинты
G-Rollz | Banksy’s Graffiti ‘Panda Gunnin’ Small Tray 14×18 cm,Металлический поднос G-Rollz размером 14х18 см с уникальным дизайном Panda Gunnin для подготовки табака.,Подносы для сигарет
Портсигар кож. Stoll 520NLK01 (18 сигарет King Size),Кожаный портсигар Stoll 520NLK01 на 18 сигарет формата King Size. Элегантный аксессуар для надежного хранения.,Тех которых нет
Z-COLORS 2ml Pear (PEAR) №08,Сменные картриджи Z-COLORS объемом 2 мл со вкусом груши. Надежный аксессуар с герметичным корпусом для повседневного использования.,Z-COLORS
Бумага Futurola | Tyson 2.0 Unbleached 1/4 Size,Бумага Futurola Tyson 2.0 — это премиальные небелиные листы формата 1 1/4 с типсами в комплекте.,Бумага
Портсигар Stoll 804NN2 (18 сигарет King Size),"Элегантный портсигар Stoll 804NN2 на 18 сигарет King Size, выполненный из прочных материалов.",Тех которых нет
Z-COLORS 2ml Lime (LME) №01,"Сменный картридж Z-COLORS 2ml с ярким вкусом лайма. Объем резервуара 2 мл, надежная конструкция и легкая установка в ваше устройство.",Z-COLORS
Mixed Color Mini bong — Leaf Design,Mixed Color Mini bong — Leaf Design представляет собой компактный аксессуар из разноцветного стекла за 200 MDL. Модель 02909MIX отличается эстетичным дизайном с листом и удобством при транспортировке.,Бонги
Portsigar Stoll 810NN2 (18 cigari King Size),Портсигар Stoll 810NN2 на 18 сигарет формата King Size. Элегантный и прочный аксессуар для защиты ваших сигарет.,Тех которых нет
Filtre pentru țigări OCB SLIM 120шт + 1 OCB BLUE BOOKLET,Комплект из 120 фильтров OCB Slim и бумаги OCB Blue Booklet для создания качественных самокруток.,
Портсигар кож. Stoll 520NKM09 (18 сигарет King Size),Элегантный кожаный портсигар Stoll 520NKM09 вместимостью 18 сигарет формата King Size.,Тех которых нет
Pets Rock — Organic Green Hemp 3 KS,Органические конусы Pets Rock размера King Size из натуральной конопли по 3 штуки в упаковке.,Джоинты
Мундштук Denicotea Lady,Элегантный мундштук Denicotea Lady для тонких сигарет из категории фильтров. Стильный аксессуар с возможностью замены фильтрующих элементов.,Фильтры
G-ROLLZ | Pets Rock «Rap»,G-ROLLZ | Pets Rock «Rap» — это качественные джоинты с уникальным дизайном в стиле рэп-культуры.,Джоинты
Leaf Grinders 1,Гриндер Leaf Grinders 1 — компактный и надежный инструмент для эффективного измельчения.,Гриндеры
G-Rollz | Medium Storage Box — 11.5×6.5×2.8 cm,Металлический бокс G-Rollz Medium Storage Box для хранения принадлежностей размером 11.5×6.5×2.8 см.,Подносы для сигарет
E-Lichid SOLOBAR 10ml Pineapple Ice №06,Качественная жидкость SOLOBAR объемом 10 мл с ярким тропическим вкусом. Идеально подходит для заправки под-систем.,Жидкости SOLO BAR
Бонг Four Twenty,"Качественный Бонг Four Twenty для комфортного курения. Стильный дизайн, артикул LG20 и эффективная система фильтрации.",Бонги
Pod VOOPOO DORIC Galaxy S1 (Russet Red),"Компактная под-система VOOPOO DORIC Galaxy S1 в цвете Russet Red, идеальная для ежедневного использования.",VOOPOO
Filtre pentru țigări OCB ACTIV tips CHARCOAL 27mm Ø 7mm,Угольные фильтры OCB ACTIV tips CHARCOAL длиной 27 мм обеспечивают глубокую очистку и мягкий вкус табака.,Фильтры
APX S1 kit Rainbow Purple,Компактная система POD в ярком цвете Rainbow Purple для повседневного использования. Надежное и стильное устройство с отличной эргономикой.,APX S1
Портсигар никель Stoll 907S2 (18 сигарет King Size),Стильный никелированный портсигар Stoll 907S2 вмещает 18 сигарет формата King Size. Надежный аксессуар для защиты и удобного хранения.,Тех которых нет
Banksy’s ‘Kissing Coppers’,Стильный белый бонг формы Beaker Bong со знаменитым принтом Бэнкси.,Бонги
Фильтры OCB PRECUT FILTERS EXTRA SLIM (пакет 120шт),Предварительно нарезанные фильтры OCB EXTRA SLIM для удобного создания тонких самокруток. В упаковке 120 штук из качественной целлюлозы.,Фильтры
Набор ZERO 1.2Ω MESH POD — 2 шт,Сменный набор из двух картриджей с сетчатым испарителем на 1.2 Ом для систем Vaporesso. Обеспечивает чистую передачу вкуса и плотную затяжку.,Картриджи Vaporesso
Портсигар Stoll 810NS (18 сигарет King Size),Компактный портсигар Stoll 810NS на 18 сигарет формата King Size. Надежная защита ваших сигарет и классический дизайн.,Тех которых нет
Amsterdam | Limited Edition Mixed Blue Skull Beakers,Лимитированный бонг Amsterdam с уникальным синим дизайном Skull Beakers для ценителей качества и эстетики.,Бонги
Бонг Amsterdam | Limited Edition Mixed Bubbler Series,Компактный бонг из лимитированной серии Amsterdam Mixed Bubbler для качественной фильтрации и эстетики.,Бонги
Фильтры OCB SLIM CHARCOAL PREMIUM (pachet 50buc),Премиальные угольные фильтры OCB формата Slim для эффективной фильтрации и чистого вкуса.,Фильтры
Бум. Фильтры ELEMENTS TIPS REGULAR - 50шт в кор.,Качественные бумажные фильтры ELEMENTS TIPS REGULAR (50 шт) для удобного создания самокруток вручную.,Фильтры
Pod DELICIU MATE (Sunset Orange),Pod DELICIU MATE (Sunset Orange) от Vaporesso — стильное и компактное устройство для повседневного использования.,Vaporesso
"Картриджи VAPORESSO VIBE (0.6/0,8om,2 ml)Mesh Smart-- 2 Buc/Pachet",Набор из 2 картриджей Vaporesso Vibe объемом 2 мл с технологией Mesh Smart. Доступны варианты сопротивления 0.6 и 0.8 ом.,Картриджи Vaporesso
Конусы | Tyson 2.0 Terpene,Готовые конусы Tyson 2.0 с натуральными терпенами для ценителей качества и быстрого использования.,Джоинты
Фильтры OCB SLIM (пакет 120шт),"Качественные фильтры OCB SLIM в упаковке по 120 штук для комфортного создания самокруток. Идеальный выбор для тех, кто ценит тонкий формат и надежность.",Фильтры
‘Psychedelic’,Поднос для сигарет Psychedelic с артикулом PR3301E — это практичный аксессуар для удобной организации процесса скручивания.,Подносы для сигарет
BalMY500 Cafe Latte,Одноразовая электронная сигарета BalMY500 Cafe Latte с мягким вкусом кофе латте.,Balmy 500
Precooler Black,"Precooler Black — это дополнительная камера для бонга, обеспечивающая фильтрацию и охлаждение. Модель G1131BK помогает дольше сохранять основной девайс в чистоте.",Бонги
‘Tiki Amsterdam’ Small Tray,Компактный металлический поднос ‘Tiki Amsterdam’ Small Tray для аккуратного сворачивания сигарет и поддержания чистоты.,Подносы для сигарет
E-Lichid CLAUD 10 ml. Trpl Molen #20,Качественная жидкость E-Lichid CLAUD 10 ml. Trpl Molen #20 с насыщенным вкусом для ежедневного парения. Удобный формат флакона объемом 10 мл.,Жидкость Claud
Elf Bar Lux 1500 Coffee Tobacco,"Одноразовое устройство с насыщенным вкусом кофе и табака, рассчитанное на 1500 затяжек.",
Трубка JNMP-02,Качественная трубка JNMP-02 из категории бонги для удобного повседневного использования.,Бонги
BalMY MAX Kiwi Pineapple Mango (Kwi Pinepple Mng),"BalMY MAX Kiwi Pineapple Mango — компактное устройство с ярким тропическим вкусом киви, ананаса и манго.",
Бумага OCB Organic HEMP SLIM+TIPS,Качественная конопляная бумага формата Slim со встроенными фильтрами в одной упаковке.,Бумага
Машинка с портсигаром Zen Rollbox 70mm,Машинка с портсигаром Zen Rollbox 70mm для удобного скручивания и хранения самокруток в прочном металлическом корпусе.,Машинки
Табак курительный Corsar Golden Virginia,"Классический табак для самокруток Corsar Golden Virginia с тонкой нарезкой, доступный по цене 60.00 MDL.",Табак для самокруток
"CARTRIDGE VAPORESSO LUXE X (0.6 om,2ml)Mesh 2 Buc/Pachet",Сменные картриджи объемом 2 мл и сопротивлением 0.6 ом на сетке. В комплект входит 2 штуки для длительного использования.,
Vaporesso LUXE Q 0.6Ω Mesh POD(2МЛ) 4ШТУК,Набор из 4 сменных картриджей Vaporesso LUXE Q 0.6Ω Mesh объемом 2 мл. Обеспечивают отличную вкусопередачу и длительный срок службы.,Картриджи Vaporesso
Special Series 4,"Бонг Special Series 4 (MG62Y) — это стильный и надежный аксессуар, идеально подходящий для подарка или личного использования.",Бонги
American Blend,Табак для самокруток American Blend по цене 170.00 MDL. Классический выбор для ценителей.,Табак для самокруток
Rasta Lion Pipe,Компактная трубка Rasta Lion Pipe (BN120) в стильном дизайне для удобного использования.,Бонги
Бумага ELEMENTS 1 1/2,Бумага ELEMENTS 1 1/2 — качественная тонкая бумага для самокруток с равномерным горением. Идеальный выбор для ценителей чистого вкуса и удобного формата.,Бумага
Flonq MAX e Mint Chill,Освежающая электронная сигарета со вкусом ледяной мяты. Стильное и компактное устройство серии Flonq MAX e для ежедневного использования.,Flonq MAX e
ELFBAR CRYSTAL 600 (STRA RASPGERRY CHRY) №5,"Одноразовая электронная сигарета Elfbar Crystal 600 (Stra Raspgerry Chry) №5 со вкусом клубники, малины и вишни на 600 затяжек.",ELFBAR CRYSTAL 600
Filtre pentru țigări OCB SLIM FILTERS PROMO 120+30шт- 50 в упак.,Качественные фильтры Ocb Slim в промо-формате 120+30 штук для изготовления самокруток.,
